主拱圈变形,1,完好,-
主拱圈变形,2,-,-
主拱圈变形,3,有轻微变形，或边拱有横移或外倾现象,-
主拱圈变形,4,拱圈存在明显的永久变形，拱顶下挠在限值内，桥面竖向呈波形,-
主拱圈变形,5,拱圈严重变形，拱顶挠度大于限值，受压构件有严重的横向扭曲变形，严重影响结构安全,-
主拱圈裂缝,1,完好，无裂缝,-
主拱圈裂缝,2,有少量轻微横向裂缝,横向裂缝缝长≤截面尺寸的1/8，缝宽≤0.1mm
主拱圈裂缝,3,结合面开裂或有纵向、横向裂缝，缝宽未超限,纵向裂缝缝长≤截面尺寸的1/8，缝宽≤0.5mm，或横向裂缝缝长＞截面尺寸的1/8且≤截面尺寸的1/2，缝宽＞0.1mm且≤0.3mm
主拱圈裂缝,4,结合面开裂或有较严重纵向、横向裂缝，缝宽超限,纵向裂缝缝长＞截面尺寸的1/8，缝宽＞0.5mm，或横向裂缝缝长＞截面尺寸的1/2，缝宽＞0.3mm
主拱圈裂缝,5,裂缝贯通截面或跨长，发生开合现象，甚至主拱圈发生明显变形,缝宽＞2.0mm
渗水,1,完好,-
渗水,2,有轻微渗水现象,-
渗水,3,拱圈局部有明显渗水现象,-
渗水,4,拱圈多处有明显渗水现象，渗水处伴有晶体析出或锈蚀现象，流膏处混凝土松散,-
拱铰功能受损,1,完好,-
拱铰功能受损,2,-,-
拱铰功能受损,3,拱铰部分受损，但功能尚存,-
拱铰功能受损,4,拱铰受损较严重，有错位、拉开现象，甚至部分压裂，部分丧失功能,-
拱铰功能受损,5,拱铰严重受损，有错位、拉开现象，混凝土压裂或功能丧失，拱圈出现严重变形,-
拱脚位移,1,完好,-
拱脚位移,2,-,-
拱脚位移,3,-,-
拱脚位移,4,拱脚出现水平、竖向位移和转角，位移小于限值,-
拱脚位移,5,拱脚不稳定，出现严重错台、位移或转角，造成结构和桥面变形过大，严重影响结构安全,-
蜂窝,1,完好，无蜂窝麻面,-
蜂窝,2,较大面积蜂窝麻面,累计面积≤构件面积的50%
蜂窝,3,大面积蜂窝麻面,累计面积＞构件面积的50%
麻面,1,完好，无蜂窝麻面,-
麻面,2,较大面积蜂窝麻面,累计面积≤构件面积的50%
麻面,3,大面积蜂窝麻面,累计面积＞构件面积的50%
剥落,1,完好，无剥落、掉角,-
剥落,2,局部混凝土剥落或掉角,累计面积≤构件面积的5%，或单处面积≤0.5m^2
剥落,3,较大范围混凝土剥落或掉角,累计面积>构件面积的5%且＜构件面积的10%，或单处面积＞0.5m^2且＜1.0m^2
剥落,4,大范围混凝土剥落或掉角,累计面积≥构件面积的10%，或单处面积≥1.0m^2
掉角,1,完好，无剥落、掉角,-
掉角,2,局部混凝土剥落或掉角,累计面积≤构件面积的5%，或单处面积≤0.5m^2
掉角,3,较大范围混凝土剥落或掉角,累计面积>构件面积的5%且＜构件面积的10%，或单处面积＞0.5m^2且＜1.0m^2
掉角,4,大范围混凝土剥落或掉角,累计面积≥构件面积的10%，或单处面积≥1.0m^2
空洞,1,完好，无空洞、孔洞,-
空洞,2,局部混凝土空洞、孔洞,累计面积≤构件面积的5%，或单处面积≤0.5m^2
空洞,3,较大范围混凝土空洞、孔洞,累计面积>构件面积的5%且＜构件面积的10%，或单处面积＞0.5m^2且＜1.0m^2
空洞,4,大范围混凝土空洞、孔洞,累计面积≥构件面积的10%，或单处面积≥1.0m^2
孔洞,1,完好，无空洞、孔洞,-
孔洞,2,局部混凝土空洞、孔洞,累计面积≤构件面积的5%，或单处面积≤0.5m^2
孔洞,3,较大范围混凝土空洞、孔洞,累计面积>构件面积的5%且＜构件面积的10%，或单处面积＞0.5m^2且＜1.0m^2
