栏杆撞坏,1,完好,-
栏杆撞坏,2,局部受到车辆冲撞，不影响功能，或构件脱落、缺失,损坏长度≤3%
栏杆撞坏,3,多处出现车辆冲撞引起的损坏，不影响功能，或构件脱落、缺失,损坏长度＞3%且≤10%
栏杆撞坏,4,受到车辆冲撞，失去效用，或构件脱落、缺失,损坏长度＞10%
栏杆缺失,1,完好,-
栏杆缺失,2,局部受到车辆冲撞，不影响功能，或构件脱落、缺失,损坏长度≤3%
栏杆缺失,3,多处出现车辆冲撞引起的损坏，不影响功能，或构件脱落、缺失,损坏长度＞3%且≤10%
栏杆缺失,4,受到车辆冲撞，失去效用，或构件脱落、缺失,损坏长度＞10%
栏杆破损,1,完好,-
栏杆破损,2,个别构件出现蜂窝麻面、剥落、锈蚀、裂缝、变形错位等现象,累计面积≤10%
栏杆破损,3,较多构件出现蜂窝麻面、剥落、露筋、锈蚀、裂缝、变形错位等现象,累计面积＞10%且≤20%
栏杆破损,4,大量构件出现剥落、露筋、锈蚀、裂缝、变形错位等现象,累计面积＞20%
护栏撞坏,1,完好,-
护栏撞坏,2,局部受到车辆冲撞，不影响功能，或构件脱落、缺失,损坏长度≤3%
护栏撞坏,3,多处出现车辆冲撞引起的损坏，不影响功能，或构件脱落、缺失,损坏长度＞3%且≤10%
护栏撞坏,4,受到车辆冲撞，失去效用，或构件脱落、缺失,损坏长度＞10%
护栏缺失,1,完好,-
护栏缺失,2,局部受到车辆冲撞，不影响功能，或构件脱落、缺失,损坏长度≤3%
护栏缺失,3,多处出现车辆冲撞引起的损坏，不影响功能，或构件脱落、缺失,损坏长度＞3%且≤10%
护栏缺失,4,受到车辆冲撞，失去效用，或构件脱落、缺失,损坏长度＞10%
护栏破损,1,完好,-
护栏破损,2,个别构件出现蜂窝麻面、剥落、锈蚀、裂缝、变形错位等现象,累计面积≤10%
护栏破损,3,较多构件出现蜂窝麻面、剥落、露筋、锈蚀、裂缝、变形错位等现象,累计面积＞10%且≤20%
护栏破损,4,大量构件出现剥落、露筋、锈蚀、裂缝、变形错位等现象,累计面积＞20%
